['https://movie.douban.com/subject/1292370/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg', '剪刀手爱德华', 'Edward Scissorhands', ['8.7'], ['882130']]
['https://movie.douban.com/subject/1298070/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg', '加勒比海盗', 'Pirates of the Caribbean: The Curse of the Black Pearl', ['8.8'], ['700940']]
['https://movie.douban.com/subject/1294639/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg', '勇敢的心', 'Braveheart', ['8.9'], ['482582']]
['https://movie.douban.com/subject/6985810/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg', '狩猎', 'Jagten', ['9.1'], ['297606']]
['https://movie.douban.com/subject/26799731/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg', '请以你的名字呼唤我', 'Call Me by Your Name', ['8.9'], ['536693']]
['https://movie.douban.com/subject/1292215/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg', '天使爱美丽', "Le fabuleux destin d'Amélie Poulain", ['8.7'], ['835044']]
['https://movie.douban.com/subject/1418834/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg', '断背山', 'Brokeback Mountain', ['8.8'], ['587103']]
['https://movie.douban.com/subject/1865703/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg', '红辣椒', 'パプリカ', ['9.0'], ['336597']]
['https://movie.douban.com/subject/10777687/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg', '7号房的礼物', '7번방의 선물', ['8.9'], ['433086']]
['https://movie.douban.com/subject/1297359/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg', '幽灵公主', 'もののけ姫', ['8.9'], ['433400']]
['https://movie.douban.com/subject/25814705/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg', '小森林 夏秋篇', 'リトル・フォレスト 夏・秋', ['9.0'], ['339920']]
['https://movie.douban.com/subject/1297630/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg', '第六感', 'The Sixth Sense', ['8.9'], ['440449']]
['https://movie.douban.com/subject/1291875/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg', '阳光灿烂的日子', ' ', ['8.8'], ['498878']]
['https://movie.douban.com/subject/1291999/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg', '重庆森林', '重慶森林', ['8.8'], ['635915']]
['https://movie.douban.com/subject/1306249/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg', '唐伯虎点秋香', '唐伯虎點秋香', ['8.7'], ['840874']]
['https://movie.douban.com/subject/5322596/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg', '超脱', 'Detachment', ['8.9'], ['389006']]
['https://movie.douban.com/subject/1296339/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg', '爱在黎明破晓前', 'Before Sunrise', ['8.8'], ['494946']]
['https://movie.douban.com/subject/25814707/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg', '小森林 冬春篇', 'リトル・フォレスト 冬・春', ['9.0'], ['305100']]
['https://movie.douban.com/subject/2149806/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2635433927.jpg', '入殓师', 'おくりびと', ['8.9'], ['476180']]
['https://movie.douban.com/subject/1291543/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg', '功夫', ' ', ['8.7'], ['810103']]
['https://movie.douban.com/subject/1292434/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg', '一一', ' ', ['9.1'], ['285100']]
['https://movie.douban.com/subject/21318488/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg', '消失的爱人', 'Gone Girl', ['8.7'], ['721667']]
['https://movie.douban.com/subject/3395373/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg', '蝙蝠侠：黑暗骑士崛起', 'The Dark Knight Rises', ['8.8'], ['574641']]
['https://movie.douban.com/subject/1293359/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg', '菊次郎的夏天', '菊次郎の夏', ['8.8'], ['454823']]
['https://movie.douban.com/subject/26874505/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.jpg', '人生果实', '人生フルーツ', ['9.5'], ['130394']]
['https://movie.douban.com/subject/1297052/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg', '侧耳倾听', '耳をすませば', ['8.9'], ['369906']]
['https://movie.douban.com/subject/1297447/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg', '倩女幽魂', ' ', ['8.7'], ['588598']]
['https://movie.douban.com/subject/1292337/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg', '无人知晓', '誰も知らない', ['9.1'], ['231868']]
['https://movie.douban.com/subject/11026735/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg', '超能陆战队', 'Big Hero 6', ['8.7'], ['805707']]
['https://movie.douban.com/subject/1305164/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg', '甜蜜蜜', ' ', ['8.9'], ['418359']]
['https://movie.douban.com/subject/4202302/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg', '借东西的小人阿莉埃蒂', '借りぐらしのアリエッティ', ['8.8'], ['437817']]
['https://movie.douban.com/subject/5989818/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg', '萤火之森', '蛍火の杜へ', ['8.9'], ['410620']]
['https://movie.douban.com/subject/1291990/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg', '爱在日落黄昏时', 'Before Sunset', ['8.8'], ['413412']]
['https://movie.douban.com/subject/1300992/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg', '完美的世界', 'A Perfect World', ['9.1'], ['222062']]
['https://movie.douban.com/subject/1291544/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg', '哈利·波特与阿兹卡班的囚徒', 'Harry Potter and the Prisoner of Azkaban', ['8.8'], ['493019']]
['https://movie.douban.com/subject/3072124/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg', '玛丽和马克思', 'Mary and Max', ['8.9'], ['360614']]
['https://movie.douban.com/subject/2353023/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg', '驯龙高手', 'How to Train Your Dragon', ['8.7'], ['614321']]
['https://movie.douban.com/subject/1292274/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg', '幸福终点站', 'The Terminal', ['8.8'], ['438352']]
['https://movie.douban.com/subject/4268598/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg', '告白', ' ', ['8.7'], ['575390']]
['https://movie.douban.com/subject/1291545/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg', '大鱼', 'Big Fish', ['8.8'], ['464078']]
['https://movie.douban.com/subject/4917726/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg', '阳光姐妹淘', '써니', ['8.8'], ['498991']]
['https://movie.douban.com/subject/1316510/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg', '射雕英雄传之东成西就', '射鵰英雄傳之東成西就', ['8.7'], ['521542']]
['https://movie.douban.com/subject/1428581/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg', '天书奇谭', ' ', ['9.2'], ['183531']]
['https://movie.douban.com/subject/21360417/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg', '恐怖直播', '더 테러 라이브', ['8.8'], ['519392']]
['https://movie.douban.com/subject/1291579/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg', '怪兽电力公司', 'Monsters, Inc.', ['8.7'], ['525804']]
['https://movie.douban.com/subject/3287562/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg', '神偷奶爸', 'Despicable Me', ['8.6'], ['782487']]
['https://movie.douban.com/subject/1296996/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg', '哈利·波特与密室', 'Harry Potter and the Chamber of Secrets', ['8.7'], ['516917']]
['https://movie.douban.com/subject/1858711/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg', '玩具总动员3', 'Toy Story 3', ['8.9'], ['405898']]
['https://movie.douban.com/subject/1418200/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg', '傲慢与偏见', 'Pride &amp; Prejudice', ['8.6'], ['624816']]
['https://movie.douban.com/subject/10577869/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg', '时空恋旅人', 'About Time', ['8.8'], ['466590']]
['https://movie.douban.com/subject/1294240/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg', '教父3', 'The Godfather: Part III', ['8.9'], ['281676']]
['https://movie.douban.com/subject/25986180/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg', '釜山行', '부산행', ['8.6'], ['936076']]
['https://movie.douban.com/subject/26325320/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg', '血战钢锯岭', 'Hacksaw Ridge', ['8.7'], ['643999']]
['https://movie.douban.com/subject/1307315/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg', '哪吒闹海', ' ', ['9.1'], ['201382']]
['https://movie.douban.com/subject/6307447/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg', '被解救的姜戈', 'Django Unchained', ['8.7'], ['483483']]
['https://movie.douban.com/subject/26628357/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg', '一个叫欧维的男人决定去死', 'En man som heter Ove', ['8.9'], ['328245']]
['https://movie.douban.com/subject/1295399/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg', '七武士', '七人の侍', ['9.3'], ['153049']]
['https://movie.douban.com/subject/1303037/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg', '喜宴', '囍宴', ['8.9'], ['272516']]
['https://movie.douban.com/subject/1417598/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg', '电锯惊魂', 'Saw', ['8.7'], ['413212']]
['https://movie.douban.com/subject/1306861/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg', '我是山姆', 'I Am Sam', ['8.9'], ['251216']]
